IDLEB COMPANY FOR SPINNING
Haji Khairullah-Haji Sattar Sarafi
Haji Khairullah and Abdul Sattar and Company
Haji Khairullah Money Exchange
Haji Khair Ullah Money Service
Haji Salam Hawala
Haji Hakim Hawala
Haji Alim Hawala
Sarafi-yi Haji Khairullah Haji Satar Haji Esmatullah
Haqqani Network (HQN)
شبکه حقانی 
RAHAT LTD. 
Rahat Trading Company  
Haji Muhammad Qasim Sarafi  
راحت لمتد 
Musa Kalim Hawala
Yas Air
SAD Import Export Company
Korean Committee for Space Technology
DPRK Committee for Space Technology
Department of Space Technology of the DPRK
Committee for Space Technology
KCST
Bank of East Land
Dongbang Bank
Tongbang U'Nhaeng
Tongbang Bank
Korea Kumryong Trading Corporation
Tosong Technology Trading Corporation
Korea Ryonha Machinery Joint Venture Corporation
Chosun Yunha Machinery Joint Operation Company
Korea Ryenha Machinery J/V Corporation
Ryonha Machinery Joint Venture Corporation
Ryonha Machinery Corporation
Ryonha Machinery
Ryonha Machine Tool
Ryonha Machine Tool Corporation
Ryonha Machinery Corp.
Ryonhwa Machinery Joint Venture Corporation
Ryonhwa Machinery JV
Huichon Ryonha Machinery General Plant
Unsan
Unsan Solid Tools
Millim Technology Company
朝鲜联合机械贸易会社
FDLR
Combatant Force for the Liberation of Rwanda
SECOND ACADEMY OF NATURAL SCIENCES
CHE 2 CHAYON KWAHAKWON
ACADEMY OF NATURAL SCIENCES
CHAYON KWAHAK-WON
NATIONAL DEFENSE ACADEMY
KUKPANG KWAHAK-WON
SECOND ACADEMY OF NATURAL SCIENCES RESEARCH INSTITUTE
SANSRI
KOREA COMPLEX EQUIPMENT IMPORT CORPORATION
New Chagai Trading  
KOREA HEUNGJIN TRADING COMPANY
2ND ACADEMY OF NATURAL SCIENCES
Leader (Hong Kong) International
Leader International Trading Limited
Libyan Investment Authority
Libyan Foreign Investment Company
LFIC
UCI
BUTEMBO AIRLINES
Forces Democratiques De Liberation Du Rwanda (FDLR)
Forces Democratiques De Liberation Du Rwanda
Force Combattante Abacunguzi
FOCA
M23
Mouvement du 23 mars
Haji Basir and Zarjmil Company Hawala
د حاجی بصیر او ضرجمیل کمپنی حواله
Haji Bashir and Zarjmil Hawala Company
Haji Abdul Basir and Zar Jameel Hawala
Haji Basir Hawala
Haji Baseer Hawala
Haji Abdul Basir Exchange Shop
Haji Basir and Zarjamil Currency Exchange
Haji Zar Jamil, Haji Abdul Baseer Money Changer
Harakat Sham Al-Islam
Haraket Sham al-Islam
Sham al-Islam
Sham al-Islam Movement
Academy of National Defense Science
Hesong Trading Company
Korea Kwangson Banking Corporation (KKBC)
KKBC 
Korea Kwangsong Trading Corporation
Ministry of Atomic Energy Industry
MAEI 
National Aerospace Development Administration
NADA 
Reconnaissance General Bureau
Chongch’al Ch’ongguk
KPA Unit 586
RGB
Second Economic Committee
Lord's Resistance Army
LRA
Lord’s Resistance Movement (LRM)
Lord’s Resistance Movement/Army (LRM/A)
Al-Shabaab
Al-Shabaab al-Islamiya
Mujahidin Youth Movement
AL-SHABAB
SHABAAB
THE YOUTH
MUJAHIDIN AL-SHABAAB MOVEMENT
MUJAHIDEEN YOUTH MOVEMENT
MYM
HARAKAT SHABAB AL-MUJAHIDIN
HIZBUL SHABAAB
HISB’UL SHABAAB
YOUTH WING
AL-SHABAAB AL-ISLAAM
AL-SHABAAB AL-JIHAAD
THE UNITY OF ISLAMIC YOUTH
HARAKAT AL-SHABAAB AL-MUJAAHIDIIN
HARAKATUL SHABAAB AL MUJAAHIDIIN
MUJAAHIDIIN YOUTH MOVEMENT
Korea United Development Bank
Ilsim International Bank
Korea Daesong Bank
Choson Taesong Unhaeng
Taesong Bank
Korea Foreign Technical Trade Center
Korea Pugang Trading Corporation
Korea International Chemical Joint Venture Company
Choson International Chemicals Joint Operation Company
Chosun International Chemicals Joint Operation Company
International Chemical Joint Venture Company
DCB Finance Limited
Korea Taesong Trading Company
Kangbong Trading Corporation
Strategic Rocket Force of the Korean People's Army
Strategic Rocket Force
Strategic Rocket Force Command of KPA
Strategic Force
Strategic Forces
GREEN PINE ASSOCIATED CORPORATION
CHO'NGSONG UNITED TRADING COMPANY
CHONGSONG YONHAP
CH'O'NGSONG YO'NHAP
CHOSUN CHAWO'N KAEBAL T'UJA HOESA
JINDALLAE
KU'MHAERYONG COMPANY LTD.
NATURAL RESOURCES DEVELOPMENT AND INVESTMENT CORPORATION
SAEINGP'IL COMPANY
National Resources Development and Investment Corporation
Saeng Pil Trading Corporation
Korean National Insurance Company (KNIC)
Korea Foreign Insurance Company
Koryo Credit Development Bank
Daesong Credit Development Bank
Koryo Global Credit Bank
Koryo Global Trust Bank
Central Military Commission of the Workers' Party of Korea (CMC)
Organization and Guidance Department (OGD)
Propaganda and Agitation Department (PAD)
Paeksol Trading Corporation
Baeksol Trading
Baeksul Trading
Korea Paek Sol Trading
Paek Sol Trading Corporation
Paekso'l Corporation
Jinsong Joint Bank
Dandong Zhicheng Metallic Materials Company Limited
Dandong Chengtai
Dandong Chisong Metal Materials Company
Dandong Zhicheng Metal Materials Company Limited
Dandong Zhicheng Metallic Mineral Company Limited
Dalian Global Unity Shipping Company Ltd
Dalian Global Unity Shipping Agency
Ministry of the People's Armed Forces (MPAF)
Iran Electronic Industries 
IEI
Sanaye Electronic Iran
Sasad Iran Electronics Industries
Sherkat Sanayeh Electronics Iran
Tarh O Palayesh
Sazeh Morakab
Sazeh Morakab Industrial and Production Company
Al-Kawthar Money Exchange
شركة الكوثر للتوسط ببيع وشراء العملات الأجنبية
Al Kawthar Co.
Al Kawthar Company
Al-Kawthar Hawala
Chang An Shipping & Technology
長安海連技術有限公司
Chang An Shipping and Technology
Huaxin Shipping Hongkong Ltd
華信船務(香港)有限公司
Kingly Won International Co., Ltd
Korea Yujong Shipping Co Ltd
Paekma Shipping Co
Care of First Oil JV Co Ltd
Shanghai Dongfeng Shipping Co Ltd
Shen Zhong International Shipping
沈忠國際海運有限公司
Khatiba Imam Al-Bukhari
KIB
Khataib al-Imam al-Bukhari
Pro-Gain Group Corporation
Jama'a Nusrat ul-Islam wa al-Muslimin (JNIM)
جماعة نصرة الإسلام والمسلمين
JAMA'ATU AHLIS SUNNA LIDDA'AWATI WAL-JIHAD
Jama'atu Ahlus-Sunnah Lidda'Awati Wal Jihad
Jama'atu Ahlus-Sunna Lidda'Awati Wal Jihad
جماعة أهل السنة للدعوة والجهاد 
Boko Haram
Western Education is a Sin
TARIQ GIDAR GROUP (TGG)
طارق گیدڑ گروپ
TEHRIK-E-TALIBAN-TARIQ GIDAR GROUP
TTP-TARIQ GIDAR GROUP
TEHREEK-I-TALIBAN PAKISTAN GEEDAR GROUP
TTP GEEDAR GROUP
TARIQ GEEDAR GROUP
COMMANDER TARIQ AFRIDI GROUP
TARIQ AFRIDI GROUP
TARIQ GIDAR AFRIDI GROUP
THE ASIAN TIGERS
Islamic State in Iraq and the Levant - Khorasan (ISIL- K)
ISIL Khorasan
Islamic State's Khorasan Province
ISIS Wilayat Khorasan
ISIL's South Asia Branch
South Asian Chapter of ISIL
AL RASHID TRUST
Al-Rasheed Trust
Al Rasheed Trust
Al-Rashid Trust
Aid Organization of the Ulema, Pakistan
Al Amin Welfare Trust 
Al Amin Trust
Al Ameen Trust
Al-Ameen Trust
Al Madina Trust
Al-Madina Trust  
GRF
Benevolence International Foundation
Al Bir Al Dawalia
BIF
BIF-USA
Mezhdunarodnyj Blagotvoritel'nyl Fond
RAJAH SOLAIMAN MOVEMENT
Rajah Solaiman Islamic Movement 
Rajah Solaiman Revolutionary Movement  
AL MOUAKAOUNE BIDDAM
الموقعون بالدم 
Les Signataires par le Sang
Ceux Qui Signent avec le Sang
Those Who Sign in Blood
AL MOULATHAMOUN
 الملثمون
Les Enturbannés
The Veiled
AL MOURABITOUN
المرابطون
Les Sentinelles
The Sentinels
ANSARUL MUSLIMINA FI BILADIS SUDAN
أنصار المسلمین في بلاد السودان 
Ansaru
Ansarul Muslimina fi Biladis Sudan
Jama'atu Ansaril Muslimina fi Biladis Sudan (JAMBS)
Jama’atu Ansarul Muslimina fi Biladis-Sudan (JAMBS)
Jamma’atu Ansarul Muslimina fi Biladis-Sudan (JAMBS)
Vanguards for the Protection of Muslims in Black Africa
Vanguard for the Protection of Muslims in Black Africa
ANSAR AL-SHARI’A IN TUNISIA (AAS-T) 
Ansar al-Sharia in Tunisia 
Ansar al-Shari’ah in Tunisia 
Ansar al-Shari’ah 
Ansar al-Sharia 
Supporters of Islamic Law 
Al-Qayrawan Media Foundation 
ABDALLAH AZZAM BRIGADES (AAB)
Abdullah Azzam Brigades 
Ziyad al-Jarrah Battalions of the Abdallah Azzam Brigades 
Yusuf al-'Uyayri Battalions of the Abdallah Azzam Brigades 
ANSAR AL CHARIA DERNA
 أنصار الشريعة – درنة 
Ansar al-Charia Derna
Ansar al-Sharia Derna
أنصار الشريعة
Ansar al Charia
Ansar al-Sharia
Ansar al Sharia
ANSAR AL CHARIA BENGHAZI
أنصار الشريعة - بنغازي 
أنصار الشريعة 
Ansar al Charia
Ansar al-Charia
Ansar al-Sharia
Ansar al-Charia Benghazi
Ansar al-Sharia Benghazi
 أنصار الشريعة بليبيا 
Ansar al Charia in Libya (ASL)
كتيبة أنصار الشريعة
Katibat Ansar al Charia
Ansar al Sharia
Islamic State West Africa Province (ISWAP)
Islamic State in Iraq and the Levant - West Africa (ISIL -WA)
Islamic State of Iraq and Syria - West Africa (ISIS -WA)
Islamic State of Iraq and Syria West Africa Province (ISISWAP)
Islamic State of Iraq and the Levant - West Africa 
Islamic State in the Greater  Sahara (ISGS)
Islamic State in Iraq and Syria - greater Sahara (ISIS - GS)
Islamic State of Iraq and Syria - Greater Sahara (ISIS - GS)
Islamic State of Iraq and the Levant -Greater Sahara (ISIS-GS)
Islamic State of the Greater Sahel
ISIS in the Greater Sahel
ISIS in the Greater Sahara
ISIS in the Islamic Sahel
Jamaah Ansharut Daulah
Jamaah Ansharut Daulah
Jemaah Anshorut Daulah
Jamaah Ansharut Daulat
Islamic State in Iraq and the Levant - Libya
الدولة الإسلامية في العراق والشام - ليبيا
Islamic State of Iraq and the Levant in Libya
Wilayat Barqa
Wilayat Fezzan
Wilayat Tripolitania
Wilayat Tarablus
Wilayat Al-Tarablus
Islamic State in Iraq and the Levant - Yemen
الدولة الإسلامية في العراق والشام - اليمن
Islamic State of Iraq and the Levant of Yemen
Islamic State in Yemen 
ISIL in Yemen
ISIS in Yemen
Wilayat al-Yemen, Province of Yemen
Parto Sanat
Yekan Parto
Passive Defense Organization 
Permanent Committee for Passive Defense
PDO
Paya Partov
Paya Parto
Pouya Control
Nam-Avaran-E Pouya Control
Tejerat Gostar Nikan Iranian Company
Raad Iran
Raad Automation Company
Middle East Raad Automation
RAAD Automation Co.
RAADIRAN
Automation RAAD Khavar
Nabbet Co
SAD Import-Export Company
SAD Import & Export Company
Shahid Ahmad Kazemi Industrial Group 
SAKIG
Air Defence Missile Industries Group
Shahid Ahmad Kazemi Industries Group
Shahid Beheshti University 
SBU
National University of Iran
Melli University
University of Shahid Beheshti
Shahid Behashti University
Martyr Beheshti University
Shaheed Beheshti University
Shakhese Behbud Sanat
Shakhes Behbood Sanaat
Shakhes Behbood Sanaat Company
Indicator of Improvement of Industry Company
Shiraz Electronics Industries
SEI
State Purchasing Organisation 
SPO
Sun Middle East FZ Company
Taghtiran
Taghtiran Kashan Company
Taghtiran Co.
Taghtiran P.J.S Kashan
Tajhiz Sanat Shayan
Technology Cooperation Office of the Iranian President’s Office
TCO
Office of Scientific and Industrial Studies
OSIS
Center for Innovation and Technology Cooperation
CITC
TCO of the Islamic Republic of Iran
Technology Cooperation Office of the Presidency
Tidewater Middle East Company
Tidewater Middle East Co.
Tidewater Middle East Marine Service
Tidewater Co. (Middle East Marine Services)
Yarsanat
Yar Sanat
Yarestan Vacuumi
Pars Amayesh Sanaat Kish
PASK
Vacuum Karan
Vacuum Karan Co
UGANDA COMMERCIAL IMPEX LTD
MACHANGA LTD
ADF
Allied Democratic Forces
Forces Démocratiques Alliées-Armée Nationale de Libération de l’Ouganda
ADF/NALU
NALU
Hesong Trading Corporation
Hyesong Trading Corporation
Kohas AG
Korea Complex Equipment Import Corporation
Korea International Chemical Joint Venture Company
Chosun International Chemicals Joint Operation Company
International Chemical Joint Venture Corporation
Choson International Chemicals Joint Operation Company
Korea Kwangsong Trading Corporation
Korea Pugang Trading Corporation
Korea Ryongwang Trading Corporation
Korea Ryengwang Trading Corporation
Korea Ryonha Machinery Joint Venture Corporation
Korea Ryenha Machinery J/V Corporation
Chosun Yunha Machinery Joint Operation Company
Ryonha Machinery Joint Venture Corporation
Tosong Technology Trading Corporation
CHONGCHONGANG SHIPPING COMPANY
Chongchongang Shipping CO Ltd
Chong Chon Gang Shipping Co Ltd
Cheil Credit Bank
Jeil Credit Bank
First Trust Bank
Kyongyong Credit Bank
First Credit Bank
Songhwa Joint bank
Taeryonggang Trading Corporation
Namchongang Trading Corporation
NCG
Namhung Trading Corporation
Nam Chon Gang Corporation
Korea Daeryonggang Trading Corporation
Agricultural Development Bank
Hana Banking Corporation Limited
Hwaryo Bank
Gorgeous Bank of North Korea
Brilliance Banking Corporation
Korea Kumsong Bank
Kumsong Bank
Single-Minded International Bank
Gefest-M LLC
Songhwa Joint Bank
Al-Inma Holding Company for Construction and Real Estate Developments
Al-Inma Holding Company For Industrial Investments
Al-Inma Holding Company for Services Investments
Al-Inma Holding Company for Tourism Investment
Gaddafi International Charity and Development Foundation
Libyan Arab African Investment Company 
LAAICO
Revolutionary Guard Corps
Waatassimou Foundation
Zimbabwe Defence Industries (PVT) Ltd
AL-QAIDA
القاعدة
"The Base"
Al Qaeda
Islamic Salvation Foundation
The Group for the Preservation of the Holy Sites
The Islamic Army for the Liberation of Holy Places
The World Islamic Front for Jihad Against Jews and Crusaders
Usama Bin Laden Network
Usama Bin Laden Organization
Al Qa'ida
Al-Qa'ida/Islamic Army
Abu Sayyaf Group
Al Harakat Al Islamiyya
Armed Islamic Group
الجماعة الاسلامية المسلحة
Al Jamm'ah Al-Islamiah Al-Musallah
GIA
Groupe Islamique Arme
Harakat Ul-Mujahidin / HUM
Al-Faran
Al-Hadid
Al-Hadith
Harakat Ul-Ansar
HUA
Harakat Ul-Mujahideen
Islamic Movement of Uzbekistan
IMU
Asbat Al-Ansar
عصبة الأنصار
THE ORGANIZATION OF AL-QAIDA IN THE ISLAMIC MAGHREB
تنظيم القا عدة ببلاد المغرب الاسلامي
Al Qaïda au Maghreb islamique 
Le Groupe Salafiste pour la Prédication et le Combat
Salafist Group For Call and Combat
AQIM
AQMI
GSPC
Libyan Islamic Fighting Group
الجماعة الاسلامية المقاتلة الليبية
LIFG
Al-Itihaad Al-Islamiya/AIAI
الاتحاد الاسلامي
JAISH-I-MOHAMMED
ARMY OF MOHAMMED
LASHKAR-E-TAYYIBA
Lashkar-e-Toiba
Lashkar-i-Taiba
al Mansoorian
al Mansooreen
Army of the Pure
Army of the Righteous
Army of the Pure and Righteous
Paasban-e-Kashmir 
Pasban-e-Kashmir
Pasban-e-Ahle-Hadith
Paasban-e-Ahle-Hadis
Pashan-e-ahle Hadis
Lashkar e Tayyaba
LET
Jamaat-ud-Dawa
JUD
Paasban-i-Ahle-Hadith
Jama'at al-Dawa
Jamaat ud-Daawa 
Jamaat ul-Dawah
Jamaat-ul-Dawa
Jama'at-i-Dawat
Jamaiat-ud-Dawa
Jama'at-ud-Da'awah
Jama'at-ud-Da'awa
Jamaati-ud-Dawa
Falah-i-Insaniat Foundation (FIF)
REVIVAL OF ISLAMIC HERITAGE SOCIETY
Jamiat Ihia Al-Turath Al-Islamiya
Revival of Islamic Society Heritage on the African Continent
Jamia Ihya ul Turath
RIHS
Al-Furqan Foundation Welfare Trust
Al-Furqan Welfare Foundation
جمعية احياء التراث الاسلامي
JEMAAH ISLAMIYAH
JEMA'AH ISLAMIYAH
JEMAAH ISLAMIYA
Jemaah Islamiah
Jamaah Islamiyah
Jama'ah Islamiyah
EASTERN TURKISTAN ISLAMIC MOVEMENT 
The Eastern Turkistan Islamic Party 
The Eastern Turkistan Islamic Party of Allah 
Islamic Party of Turkestan 
Djamaat Turkistan  
ETIM
Ansar al-Islam
Devotees of Islam
Jund al-Islam
Soldiers of Islam
Kurdistan Supporters of Islam
Supporters of Islam in Kurdistan
Followers of Islam in Kurdistan
Kurdish Taliban
Soldiers of God
Ansar al-Sunna Army
Jaish Ansar al-Sunna
Ansar al-Sunna
أنصار الاسلام
Special Purpose Islamic Regiment
The Islamic Special Purpose Regiment
The al-Jihad-Fisi-Sabililah Special Islamic Regiment
Islamic Regiment of Special Meaning
Tunisian Combatant Group
Groupe Combattant Tunisien
Groupe Islamiste Combattant Tunisien
GICT
الجماعة التونسية المقاتلة
Moroccan Islamic Combatant Group
Groupe Islamique Combattant Marocain
GICM 
الجماعة الاسلامية المغربية المقاتلة
Al-Qaida in Iraq
AQI
Al-Tawhid
the Monotheism and Jihad Group
Qaida of the Jihad in the land of the Two Rivers
Al-Qaida of Jihad in the land of the Two Rivers
The Organization of Jihad's Base in the Country of the Two Rivers
The Organization Base of Jihad/Country of the Two Rivers
The Organization Base of Jihad/Mesopotamia
Tanzim Qa'idat Al-Jihad fi Bilad al-Rafidayn
Tanzeem Qa'idat al Jihad/Bilad al Raafidaini
Jama'at Al-Tawhid Wa'al-Jihad
JTJ
Islamic State of Iraq
ISI
al-Zarqawi network
القاعده في العراق
Islamic State in Iraq and the Levant
ISLAMIC JIHAD GROUP
JAMA'AT AL-JIHAD
LIBYAN SOCIETY
KAZAKH JAMA'AT
JAMAAT MOJAHEDIN
JAMIYAT
JAMIAT AL-JIHAD AL-ISLAMI
DZHAMAAT MODZHAKHEDOV
ISLAMIC JIHAD GROUP OF UZBEKISTAN
AL-DJIHAD AL-ISLAMI
Zamaat Modzhakhedov Tsentralnoy Asii
Islamic Jihad Union  
HARAKAT-UL JIHAD ISLAMI
حرکت الجہاد الاسلامی
HUJI
Movement of Islamic Holy War 
Harkat-ul-Jihad-al Islami 
Harkat-al-Jihad-ul Islami 
Harkat-ul-Jehad-al-Islami 
Harakat ul Jihad-e-Islami  
Harakat-ul-Ansar 
HUA
Emarat Kavkaz
Эмират Кавказ 
Tehrik-e Taliban Pakistan 
تحریک طالبان پاکستان 
Tehrik-I-Taliban Pakistan
Pakistani Taliban
Tehrik-e-Taliban
TTP
Tehreek-e-Taliban
Hilal Ahmar Society Indonesia (HASI)
Yayasan Hilal Ahmar
Indonesia Hilal Ahmar Society for Syria
The Army of Emigrants and Supporters
تنظیم جیش المھاجرین و الأنصار
Battalion of Emigrants and Supporters
Army of Emigrants and Supporters Organization
Battalion of Emigrants and Ansar
Jaysh al-Muhajirin wal-Ansar (JAMWA)
Jund Al-Khilafah In Algeria (JAK-A)
Jund al Khalifa
Jund al-Khilafah fi Ard al-Jaza’ir
Jund al-Khalifa fi Ard al-Jazayer
Soldiers of the Caliphate in Algeria
Soldiers of the Caliphate of Algeria
Soldiers of the Caliphate in the Land of Algeria 
Ansar Bank
Ansar Finance and Credit Fund
Ansar Financial and Credit Institute
Ansae Institute
Ansar institute 
Ansar al-Mohjahedin No-Interest Loan Institute
Ansar Saving and Interest-Free Loans Fund
Ansar al Mojahedin
Aran Modern Devices 
AMD
Aran Modern Devices Kish Company
Aras Farayande
Aras Farayande Sadra
Armed Forces Geographical Organization
Armed Forces Geographical Organisation
Iranian National Geographical Organization of Armed Forces
Geographical Organization of Iranian Armed Forces
Ashtian Tablo
Ashtian Tablo (P.J.S)
Ashtian Tableau
Bals Alman
Bank Saderat
BSI
Benham Shahriyari Trading Company
Bonyad Taavon Sepah
IRGC Cooperative Foundation
Bonyad-e Ta’avon-Sepah
Sepah Cooperative Foundation
Bonyad e-Tavon-e
the Cooperative Foundation of the Revolution Guards
Cooperative Foundation of the Revolutionary Guards
Dalian Sunny Industries
Dalian Sunny Industry and Trade Co.
LIMMT
LIMMT Economic and Trade Company
Ansi metallurgy industry Co. Ltd
Blue sky industry corporation
Dalian Carbon Co. Ltd
Liaoning Industry and Trade Co. Ltd
LIMMT (Dalian) Metallurgy and Minerals Co. Ltd
Electronics Components Industries
ECI
Etemad Amin Investment Company Mobin
Etemad-e Mobin
Etemad Amin Invest Co Mobin
Etemad-e Mobin
Etemad Mobin Co.
Etemad Mobin Trust Co.
Etemade Mobin Company Mobin
Mobin Trust Consortium
Etemad-e Mobin Consortium
Aria Nikan Marine Industry
Aria Nikan
Pergas Aria Movalled Ltd
Eyvaz Technic
Eyvaz Technic Industrial Company Ltd
Fajr Aviation Composite Industries (FACI)
FACI
Fajr Aviation & Composites Industry
Fajr Aviation Ind
Fajr Aeration and Composites Industries
Fajr Aeronautics and Compound Material Industries
Fulmen
Fulmen Group
Hirbod Co
Imam Hossein University  
IHU
Imam Hussein University
Imam Hoseyn University
Imam Hossein University Complex
Emam Hoseyn Comprehensive University
University of Imam Hoseyn
Institute of Applied Physics 
IAP
Applied Physics Institute
Physics Research Centre
Iran Aircraft Industries 
IACI
Iran Aircraft Industries Co
SAHA
IAI
Iran Aircraft Manufacturing Company
HESA
HESA Trade Center
HTC
IAMCO
IAMI
Iran Aircraft Manufacturing Industries
Karkhanejate Sanaye Havapaymaie Iran
Hava Peyma Sazi-e Iran
Havapeyma Sazhran
Havapeyma Sazi Iran
Hevapeimasazi
Iran Communications Industries 
ICI
Iran Communications Industries Group
Sanaye Mokhaberat Iran
Iran Marine Industrial Company 
Sanati Daryaee Iran
SADRA
Iran Marine Industry Co.
Iran Marine Industries Company Co
IMICO
Iranian Aviation Industries Organization
IAIO
Sazmane Sanaye Havai
Armed Forces Aviation Industries Organization
Isfahan Optics Industries
IOI
Islamic Revolutionary Guards Corps 
IRGC
Pasdaran
Pasdaran-e Enghelab-e Islami
Javedan Mehr Toos
JMT
Karanir Sanat
Moaser
Tajhiz Sanat
Karanir Moaser
Moshever Sanat
Khatem-ol Anbiya Construction Headquarters
KAA
Khatem-al Anbiya Construction Headquarters
Khatam ol Anbia Gharargah Sazandegi Nooh
Khatam al-anbya
Khatam ol anbia
Ghorb Khatam
Khatam-ol-Anbiya Construction Base
MAAA Synergy
Malek Ashtar University
MUT
Malek Ashtar University of Technology
Marou Sanat
Mohandesi Tarh Va Toseh
Maro Sanat
Maro Sanat Company
Marou Sanat Engineering Company
Mehr Bank 
Mehr Finance and Credit Institute
Mehr Interest-Free Bank
Mehr Iran Credit Union Bank
Bank-E Gharzolhasaneh Mehr Iran
Gharzolhasaneh Mehr Iran Bank
Mehr-e Eqtesad-e Iranian Investment Company
Mehr Eghtesad Iranian Investment Company 
Mehr Iranian Economy Company 
Mehr Iranian Economy 
Tejarat Tose's Eqtesadi Iranian 
Ministry of Defence and Armed Forces Logistics 
MODAFL
Ministry of Defence Logistics Export
MODLEX
MODLEX Export Center
Modern Technologies FZC 
MTFZC
Naserin Vahid
N.V. Co
Naserin Vahid Company 
Neda Industrial Group
Neda Group
